id_anuncio,fuente,tipo_operacion,url,fecha_scraping,titulo,precio,moneda,precio_soles,area_total,area_construida,precio_m2,distrito,direccion,dormitorios,banos,estacionamientos,piso,antiguedad,mantenimiento,estado_inmueble,caracteristicas,nombre_proyecto,inmobiliaria,descripcion,latitud,longitud,ascensor,balcon,terraza,piscina,gimnasio,cochera,deposito,vista_al_mar,parrilla,areas_verdes,seguridad_24_7,coworking,juegos_infantiles,pet_friendly
150401671,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-lopez-de-ayala-hermoso-duplex-estreno-cochera-deposito-150401671.html,2026-09-05 22:50:04,Lopez de Ayala Hermoso Duplex Estreno Cochera Deposito,4900.0,PEN,4900.0,157.0,157.0,31.21,San Borja,LOPEZ DE AYA HERMOSO DUPLEX ESTRENO,2.0,3.0,1.0,,,300.0,,,,LATIN REAL ESTATE,"Aceptamos A tu mascota. Departamento de 157 m² con 2 Habitaciones y 2 salas de estar en Alquiler en San Borja. Se ubica a medio paso del liceo naval. Este departamento en alquiler se ubica en San Borja, una zona residencial consolidada. La propiedad cuenta con 157 m² de superficie construida y dispone de 2 habitaciones, incluyendo un dormitorio principal con baño. Adicionalmente, posee 2 baños completos y un medio baño, sala y comedor integrados, y una cocina integral. El inmueble se encuentra en el tercer piso de un edificio de 3 pisos con 6 departamentos en total. Para mayor comodidad, cuenta con 1 ascensor con capacidad para 4 personas y 1 estacionamiento separado. Entre sus características de seguridad, incluye control de accesos, sistema de alarma y detectores de humo. También ofrece 1 cochera y 1 depósito. La zona de San Borja es reconocida por su ambiente familiar y tranquilo, con acceso a servicios básicos como agua y luz. Se beneficia de la cercanía a centros comerciales y escuelas, facilitando la vida diaria. Las avenidas principales de la zona garantizan una buena conectividad. Condiciones: 12 meses de contrato, 02 meses de garantía y 01 mes de adelanto. No se aceptan mascotas. Agenda tu visita ya mismo. 9 9 9 8 9 2 7 9 7. Juliana Montes",-12.0947436,-76.9997482,1,0,0,0,0,1,1,0,0,0,1,0,0,1
150490402,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-dpto-2-dorm.-vista-panoramica-150490402.html,2026-09-05 22:50:04,Lindo Dpto 2 Dorm. Vista Panoramica,3398.0,PEN,3398.0,65.0,65.0,52.28,San Isidro,Av. Salaverry y Calle Juan Norberto Eléspuru,2.0,2.0,1.0,,1.0,398.0,,,,D-UNA BIENES RAICES - SAUL VELASQUEZ,"Excelente departamento de 2 dormitorios en un area de 65m2 con sala cocina abierta, 2 baños, 1 lavanderia, los baños vienen con manparas de vidrio y espejos, luminarias, rollers en todo el departamento, cocina y horno empotrado. 1 cochera y el edificio cuenta con areas comunes como Zona de parrillas zona central para reuniones con fogata, cocina frío bar, parrilla, piscina temperada al aire libre, coworking, sala de reunion, gimnasio, lavanderia común con maquinas industriales, se alquila en us$1, 000. 00 llamar al <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>",-12.096295278654825,-77.0550389392868,0,0,0,1,1,1,0,1,1,0,0,1,0,0
150757155,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-un-dormitorio.-limite-con-150757155.html,2026-09-05 22:50:04,Alquilo Departamento de un Dormitorio. Límite con Miraflores. 1 Cochera. ID. Rent - 221,1900.0,PEN,1900.0,36.0,36.0,52.78,Surquillo,DOMINGO ORUE,1.0,1.0,1.0,,,140.0,,,,Inmobiliaria Inspira,"Departamento en suquillo, A un paso de miraflores Y al centro financiero de san isidro. De fácil acceso A domingo orué, via expresa paseo de la republica, estación domingo oré del metroploitano. * el boon que te va A encantar: está totalmente equipado: muebles, artefactos Y todo lo que necesitas para vivir comodamente. es un departamento de estreno. el edificio cuenta con especatculares áreas comunes para la recreación Y construir momentos inolvidables, totalmente equipadas: elegante recepción, con vigilancia las 24 horas. 3 amplios ascensores. gym. coworking. sala de niños. centro de lavado. terrazas con zonas de parrilla. * el departamento cuenta con: un dormitorio. kitchenette integrada A la sala. barra O mesada como comedor. un balcón con vista espectacular, desde el piso 16. baño completo. dormitorio con closet. * acabados de calidad: kitchenette con muebles altos Y bajos, mesada Y muebe bajo en granito. closet en dormitorios. rolleres en ventanas. baño con mueble bajo, espejo Y ducha con cortina. * un segundo boon: combo de departamento mas cochera. * condiciones del alquiler: contrato mínimo por un año. dos meses de garantia. un mes de adelanto. asume el inqulino: renta mensual. servicios del dpto. mantenimiento del edificio. arbitrios municipales. * disponibilidad inmeidta para las visitas. contacta: Pedro Rodriguez/ Raquel Collazos",-12.108321493296602,-77.02519820597679,1,1,1,0,1,1,0,0,1,0,1,1,0,0
150987700,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-con-alma-de-hogar-150987700.html,2026-09-05 22:50:04,Dúplex con Alma de Hogar,6120.0,PEN,6120.0,200.0,200.0,30.6,San Borja,Jr. 2 al 500,3.0,3.0,,,13.0,522.0,,,,RODRIGUEZ LEZAMA GEORGE DANIEL,"Usd 1, 800 al mes. Dúplex de 200 m² en Jr. 2, San Borja. Edificio de solo 8 departamentos. Disponible ahora. Si ese primer párrafo encaja con lo que buscas, sigue leyendo porque este dúplex es difícil de encontrar en San Borja a este precio y con esta distribución. Dos niveles pensados para que una familia tenga espacio de verdad. En el primer piso la sala comedor recibe luz de la calle y tiene rollers automatizados. El dormitorio principal es amplio con baño propio y closet para cama king. La cocina es cerrada con comedor de diario, despensa y lavandería. Hay baño de visitas. En el segundo piso una sala de estar se abre a una terraza y hay dos dormitorios adicionales con baño completo. Afuera un patio posterior para usar como quieras. Edificio de 3 pisos, 13 años, bien mantenido. Ascensor, cochera lineal doble, depósito y terma a gas. Mantenimiento de S/ 522 incluye agua. Vigilancia de lunes a sábado. Mascotas bienvenidas. A una cuadra de un parque y a espaldas de otro, frente a la iglesia de los Sodalicios. A minutos del Pentagonito, colegios y las principales vías de la ciudad. Condiciones: contrato mínimo de un año, modalidad 2x1. Este dúplex ya tiene interesados coordinando visita. Si tu perfil encaja con las condiciones y quieres verlo antes de que alguien más lo decida, escríbeme hoy y lo agendamos esta semana.",-12.0911009063,-76.9842230688,1,0,1,0,0,1,1,0,0,1,1,0,0,1
150945449,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-en-lince-150945449.html,2026-09-05 22:50:04,Alquiler de Departamento en Lince,2950.0,PEN,2950.0,75.0,75.0,39.33,Lince,Av. Prol. Iquitos 1570,3.0,2.0,1.0,,12.0,200.0,,,,REMAX AHORA,"Contacto: gabby davilacel: 9*2*2*5*5*3*4*8*8¡alquila cerca de todo Y disfruta todo en un solo lugar! ¿Buscas comodidad, excelente ubicación y espacios pensados para toda la familia? Este fabuloso departamento en la avenida Prolongación Iquitos, muy cerca del Hospital Rebagliati de EsSalud y a solo 4 cuadras de la avenida Javier Prado, está listo para convertirse en tu próximo hogar. El departamento se encuentra listo para mudarte y cuenta con: - 3 habitaciones- 2 baños completos- Sala-comedor con vista exterior- Cocina cerrada- Hall ideal para estudio o espacio de trabajo- 1 cochera- Depósito privadoAdemás, el edificio ofrece completas áreas comunes para disfrutar sin salir de casa: -Piscina- Zona de parrillas- Área de juegos para niños y adultos- Gimnasio-Sauna- Zona de coworking- Elegante y acogedor lobby-Sala de recepción para tus invitados- Seguridad y vigilancia las 24 horasMantenimiento: S/200Aquí no solo alquilas un departamento: eliges una vida más cómoda, segura y práctica, con todo lo que necesitas a pocos minutos de ti. ¡Esta es la oportunidad de mudarte al hogar que estabas buscando! Contáctame ahora mismo, agenda tu visita y conócelo antes de que alguien más lo alquile. contacto: gabby davilacel: 9*2*2*5*5*3*4*8*8id: 1*1*9*5*3*5*8",-12.0795754,-77.0288378,0,0,0,1,1,1,1,0,1,0,1,1,1,0
150998588,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-se-alquila-departamento-de-100-m-sup2--de-2-dorm.-cada-150998588.html,2026-09-05 22:50:04,Se Alquila Departamento de 100 m² de 2 Dorm. Cada Uno con Baño Propio,3100.0,PEN,3100.0,100.0,100.0,31.0,Jesús María,Av. Salaverry 2158,2.0,3.0,,,2.0,280.0,,,,GROVER ROSAS,"Contacto Grover Rosas Celular 9. 6. 1. 8. 9. 1. 5. 2. 7. Solicitar video del recorrido del dpto al corredor inmobiliario. Se alquila Dpto. De 2 dormitorios de 100m2, ubicado en av salaverry, frente a la upc y de la Universidad del Pasifico y asimismo el edificio cuenta con area comun, zona de parrilla y area de adultos. Direccion Av Salaverry 2158. Caracteristicas: - Area 100m2. - Piso laminado nuevo. - 2 dormitorios con closet y con baño propio cada uno. - 3 baños completos. - Ubicado en piso 17 vista interior. - mantenimiento. Contrato minimo por 12 meses garantia 2 meses mas 1 mes de adelanto. demostrar sustento economico con las 3 ultimas boletas de pago. no estar con mala calificacion por los bancos",-12.0857511,-77.0500467,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150867231,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-departamento-de-1-dormitorio-en-la-calle-san-150867231.html,2026-09-05 22:50:04,Alquilo Departamento de 1 Dormitorio en La Calle San Martin - Barranco,2350.0,PEN,2350.0,52.0,52.0,45.19,Barranco,Calle San Martin,1.0,1.0,1.0,,3.0,300.0,,,,REMAX PRO,"Alquilo departamento de 52 m², ubicado en la cuadra 2 de la calle San Martín, en una de las mejores zonas del distrito de Barranco. El departamento se encuentra en un moderno edificio y cuenta con una distribución práctica y funcional: -Sala-comedor-Cocina abierta tipo americana-Terraza ideal para colocar una parrilla-Área de lavandería-1 dormitorio-1 baño completo. Tiene lindos acabados, buena iluminación y espacios bien aprovechados. Además, cuenta con 1 estacionamiento techado. El edificio ofrece agradables áreas comunes, entre ellas una sala de Co-Working totalmente equipada con terraza y un lindo patio con mesas, ideal para compartir y reunirse con amigos. Barranco es un distrito que se caracteriza por su gran movimiento cultural y artístico, con diversos espacios dedicados al arte. También cuenta con una interesante propuesta gastronómica, con una amplia variedad de restaurantes y cafés que se encuentran a pocos minutos. Una excelente opción para quienes buscan un departamento moderno, funcional y muy bien ubicado en Barranco. Renta: $750Condiciones: 2 meses de garantía x 1 mes de adelanto. La persona que lo va a alquilar debe presentar constancias de ingresos y debe estar bien calificado en la central de riesgos Infocorp T. C. 3. 50Tipo de cambio referencial, sujeto a variación diaria por fluctuación del mercado",-12.1246395,-77.0327389,0,0,1,0,0,1,0,1,1,0,0,0,0,0
150397218,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-amoblado-en-los-geranios-150397218.html,2026-09-05 22:50:04,"Alquiler de Departamento Amoblado en Los Geranios, Lince Límite con San Isidro",3056.0,PEN,3056.0,67.0,,45.61,Lince,Calle Los Geranios 310,2.0,2.0,1.0,,4.0,,,,,ALBERTO ARRIBAS PROPIEDADES S.A.C. [Persona Natural],"Amobllado y equipado. A 1 cdr de Av. Javier Prado muy cerca de las begonias. Área: 67. 5 m²4 años de antigüedadPiso 10Sala - comedor con buena iluminaciónCocina abiertaPequeño balcónHabitación principal con walking clóset2 baños completosPequeña lavandería1 cocheraÁreas comunes: piscina, gimnasio y zona de parrillaNo mascotaPara mayor información o coordinar una visita, no dudes en contactarnos.",-12.0905348,-77.0268391,0,1,0,1,1,1,0,0,1,0,0,0,0,0
150809307,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-150809307.html,2026-09-05 22:50:04,Departamento en Alquiler,5390.0,PEN,5390.0,129.0,,41.78,San Borja,"Calle El Dorado al 135, Dpto #201",3.0,2.0,2.0,,1.0,850.0,,,,MONTENEGRO GROUP S.A.C,"Hermoso departamento elegante y bien distribuido, con acabados modernos y un diseño contemporáneo que refleja un estilo de vida sofisticado. Características: - Área 129 m2- Piso 2- Sala Comedor- Cocina cerrada con muebles altos y bajos acabados en poliuretano, piso de porcelana importado de Italia, Tablero de granito y pared con enchape en cerámico blanco. - 3 dormitorios (principal con baño incorporado y amplio closet) - Baño completo para dormitorios secundarios- Baño de visita- Lavandería- Cuarto y baño de Servicio- 2 Cocheras paralelas-Deposito-Ascensor directoDatos Generales: - Edificio moderno y construido por constructora A1, - Cuenta con un total de 8 departamentos. - Antigüedad: 3 años- Ascensor directo- Áreas comunes: Estacionamiento de bicicletas- Seguridad 24 hrs. -No se aceptan mascotasSe Alquila sin mueblesLa ubicación de este departamento es excelente. Se encuentra en una zona céntrica y de fácil acceso, con excelentes conexiones de transporte público. Además, cuenta con servicios cercanos como restaurantes, tiendas, parques y centros culturales, lo que te permite disfrutar de una vida cómoda y vibrante. En resumen, este hermoso departamento bien distribuido y con modernos acabados ofrece un ambiente sofisticado y cómodo. El pequeño balcón con vista a la calle, la ubicación privilegiada y las diversas comodidades hacen de este lugar un espacio perfecto para vivir y disfrutar de la vida urbana.",-12.105388,-76.9814774,1,1,0,0,0,1,1,0,0,1,1,1,0,1
150746442,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-duplex-en-alquiler-amoblado-cochera-1-dorm.-150746442.html,2026-09-05 22:50:04,Dúplex en Alquiler | Amoblado | Cochera | 1 Dorm.,3060.0,PEN,3060.0,71.0,71.0,43.1,Miraflores,Calle Bellavista al 300,1.0,1.0,1.0,,10.0,300.0,,,,AREA INMOBILIARIA,"área total: 71. 83 m2Dúplex con vista interior ubicado en una de las mejores zonas de Miraflores. Ubicado en Calle Bellavista, a 1 cuadra del Malecón Balta, del Parque Kennedy y de Wong Balta, a 3 cuadras de la Av. Benavides. Cerca de supermercados, tiendas, restaurantes, bancos, gimnasios, comercios y más. Completamente amoblado. Piso 5. No se aceptan mascotas. - Sala-comedor. - Cocina kitchenette con mesa de cuarzo y reposteros altos y bajos. * Cocina totalmente equipada. - 1 Dormitorio que cuentan con escritorio, closet empotrado y baño incorporado. - Closet de lavado. - Estacionamiento. Áreas comunes: - Lobby. - Patio. Precio: $900. 00tc Referencial.",-12.1222856,-77.0320741,0,0,0,0,1,1,0,1,0,1,0,0,0,1
150913004,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-flat-en-miraflores-116-150913004.html,2026-09-05 22:50:04,Alquilo Flat en Miraflores/116 M²/cochera/edificio Frente a Parque,3706.0,PEN,3706.0,116.0,116.0,31.95,Miraflores,Punta Coles 180,3.0,3.0,1.0,,27.0,350.0,,,,RE/MAX CAPITAL,"Asegure el bienestar de su familia en una de las zonas residenciales más pacíficas, hermosas y seguras de Miraflores. Este exclusivo departamento con vista exterior le ofrece el privilegio de despertar todos los días frente a la naturaleza, manteniendo la vibrante vida comercial y gastronómica del distrito a solo unos pasos de su puerta. Distribución: -3 habitaciones ( 2 con baño propio) con closets. -Baños: 3 baños completos + 1 medio baño (para visitas). -Área Social: Amplia y muy iluminada sala-comedor vista exterior. -Cocina de concepto cerrado y zona de lavandería independiente. -Espacio para salita de tv. Entorno Urbano y Estilo de Vida: - Parque al lado del edificio le garantiza silencio, aire puro y el escenario perfecto para salir a caminar, pasear a su mascota o relajarse. - Olvídese del auto para el día a día, cerca a Simón Salguero donde encontrará: cafés, farmacias y bodegas, permitiéndole hacer sus compras o disfrutar de un café a tan solo unos pasos. -Vías importantes cerca como: Avenida Benavides, Simón Salguero, Paseo La Castellana, Ovalo Higuereta. -Colegios a un paso: Pestalozzi, Santa Rita, Nuestra Señora de las Mercedes, Americano Miraflores, Mater Purissima, Humbolt, Saint George, Hiram Bringham, Universidad Ricardo Palma y Champagnat. El hogar seguro, céntrico y rodeado de áreas verdes que siempre soñó. Contácteme hoy mismo para brindarle mayor información y coordinar una visita guiada. *Contáctate con Julissa Arana 9. 9. 6. 6. 1. 7. 8. 4. 3*",-12.130055,-77.0050768,0,0,0,0,0,1,0,0,0,1,0,0,0,0
150980715,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-en-alquiler-moderno-y-funcional-departamento-semi-150980715.html,2026-09-05 22:50:04,En Alquiler – Moderno y Funcional Departamento Semi Amoblado,3350.0,PEN,3350.0,65.0,65.0,51.54,Santiago de Surco,Jirón Zamora 354,2.0,2.0,1.0,,3.0,320.0,,,,Fabiola Serpa Tovar,"¡Vive con comodidad y disfruta de excelentes áreas comunes! Se alquila moderno departamento semi amoblado de 65 m², ubicado en el 5. º piso de un edificio de solo 3 años de antigüedad, ideal para quienes buscan un espacio práctico, acogedor y con todas las comodidades. Características del departamento: Área total y construida: 65 m² ️ 2 dormitorios. 2 baños. ️ Dormitorio principal con baño incorporado. ️ Amplia y cómoda sala-comedor. Cocina full equipada. 1 estacionamiento. 5. º piso. Semi amoblado. Áreas comunes: El edificio cuenta con excelentes espacios para disfrutar y compartir: Seguridad y vigilancia 24/7. Zona de parrilla. ️ Gimnasio. Coworking. Lavandería. Áreas verdes y parques",-12.122071799999999,-76.98977080000002,0,0,0,0,1,1,0,0,1,1,1,1,0,0
150761259,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-departamento-a-estrenar-1-dormitorio-150761259.html,2026-09-05 22:50:04,Alquiler de Departamento a Estrenar 1 Dormitorio + Cochera en Miraflores,2300.0,PEN,2300.0,42.0,42.0,54.76,Miraflores,Avenida Paseo de la República 6143,1.0,1.0,1.0,,,200.0,,,,ASSETPLAN,"¡Estrena tu nuevo hogar en una de las mejores ubicaciones de Miraflores! Vive la experiencia de estrenar un moderno departamento en Av. Paseo de la República, Miraflores, en una ubicación estratégica que combina conectividad, comodidad y todo lo que necesita para disfrutar de la ciudad. Este acogedor departamento de 1 habitación y 1 baño, con cochera, ha sido diseñado para quienes buscan un espacio moderno, funcional y con excelentes acabados. Al ser a estrenar, podrá disfrutar de cada ambiente en óptimas condiciones y darle su propio estilo desde el primer día. El edificio cuenta con excelentes áreas comunes, ideales para complementar su día a día y disfrutar de diferentes espacios sin salir de casa. Ubicado sobre Av. Paseo de la República, el departamento cuenta con una excelente conexión hacia las principales vías de Lima, facilitando el desplazamiento hacia San Isidro, Barranco y otros puntos de la ciudad. Además se encuentra cerca de parques, restaurantes y diversos comercios. ¡Agenda su visita y descubra personalmente todo lo que este departamento tiene para ofrecer!",-12.1289381,-77.02257259999999,0,0,0,0,0,1,0,0,0,1,0,0,0,0
150884162,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamentos-de-60-m-sup2--en-alquiler-3-dorm-150884162.html,2026-09-05 22:50:04,"Departamentos de 60 m² en Alquiler - 3 Dorm - Calle General Borgoño, Miraflores",4590.0,PEN,4590.0,60.0,60.0,76.5,Miraflores,Calle Chiclayo N° 525-527 y General Borgoño N° 495 - Dpto 200,3.0,2.0,1.0,,4.0,450.0,,,,CENTURY 21 Corporate,"Vive en una de las zonas más atractivas y residenciales de Miraflores! ¡Vive en una de las zonas más atractivas y residenciales de Miraflores! Se alquilan funcionales departamentos de 60 m², ubicados en Calle General Borgoño, en una zona privilegiada del distrito, con fácil acceso a restaurantes, cafés, comercios, supermercados, parques y principales vías. Los departamentos cuentan con una amplia sala-comedor y una moderna cocina abierta, creando un ambiente cómodo y funcional para el día a día. Además, disponen de lavandería y baño completo de visita. En la zona privada encontrarás 3 dormitorios, siendo el dormitorio principal el que cuenta con baño incorporado, brindando mayor comodidad e independencia. Departamentos disponibles, todos con el mismo metraje y precio: Piso 2: Dpto. 200 y Dpto. 202Piso 3: Dpto. 300 y Dpto. 302Piso 4: Dpto. 400 y Dpto. 402Piso 5: Dpto. 500 y Dpto. 502Características: -Área: 60 m²-3 dormitorios-Dormitorio principal con baño incorporado-Baño completo de visita-Amplia sala-comedor-Cocina abierta-Lavandería-1 estacionamiento-Ascensor-Vigilancia 24 horasCondiciones de alquiler: Renta mensual: us$ 1, 350 + 5% de impuesto a la rentaMantenimiento: S/ 450 mensuales (incluye agua del departamento, limpieza de áreas comunes, vigilancia 24h y mantenimiento de ascensores) Arbitrios: S/ 85 mensualesLuz: consumo independienteUbicación: Calle General Borgoño, Miraflores.",-12.1148045142,-77.0335326073,1,0,0,0,0,1,0,0,0,1,1,1,0,0
151006613,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquila-dpto.-86-m-sup2--en-3er-piso-magdalena-151006613.html,2026-09-05 22:50:04,Alquila Dpto. 86 m² en 3er Piso Magdalena,2300.0,PEN,2300.0,86.0,86.0,26.74,Magdalena del Mar,Av. Brasil Nº 3775 Magdalena del mar,3.0,2.0,,,5.0,150.0,,,,NEXDOR,"Zona céntrica de Magdalena, edificio pequeño de solo 6 pisos, dpto. En piso bajo 3er nivel, lo mejor con medidores independientes de luz y agua. ► ubicación: Av. Brasil Nº 3775, Magdalena del Mar. ► precio de alquiler: S/2, 300. 00 soles. - Edificio de 6 pisos, con 6 departamentos por piso. - Dpto. En piso bajo, 3er piso. - 1 ascensores. ► distribución: - Área: 86 m2. - Sala comedor amplia, con excelente iluminación natural. - Cocina nueva completamente equipada. Incluye: - Encimera de 4 hornillas. - Campana extractora empotrada. - Horno empotrado. - Microondas. - Refrigeradora. - Lavandería ventilada. - 03 dormitorios con clóset. - 02 baños completos con ducha. - Terma eléctrica para agua caliente. ► servicios: - Luz independiente. - Agua independiente. - Gas natural independiente. - Mantenimiento S/ 150 aprox. De acuerdo al consumo de agua. - Se permite 01 sola mascota pequeña. - 2 meses de garantía y 1 mes de adelantado. - Arbitrios mensuales: ► requisitos: - Sustentar ingresos con boletas de pago, recibos por honorarios o pdt. - No estar mal reportado en Infocorp. - Contrato de 1 año. ► solicita mayor información al <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span> - <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>",-12.0938506,-77.0689146,1,0,0,0,0,0,0,1,0,0,0,1,0,0
150862517,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-vive-en-las-alturas-de-salaverry-flat-de-100-m-sup2-150862517.html,2026-09-05 22:50:04,Vive en Las Alturas de Salaverry | Flat de 100 m² con Balcones,3100.0,PEN,3100.0,100.0,100.0,31.0,Jesús María,Av. Salaverry 2158,2.0,2.0,,,,280.0,,,,JOVITA TAFUR PELAEZ,"Si buscas un departamento moderno, cómodo y con una ubicación estratégica, este flat en la cuadra 21 de Av. Salaverry, Jesús María, puede ser tu próximo hogar. Ideal para estudiantes de la upc, ejecutivos que trabajan en san isidro. Vive en el piso 17 y disfruta de una agradable perspectiva de la ciudad, con ambientes diseñados para aprovechar la luz y la amplitud. Distribución. - Amplia sala-comedor con balcón. - Dormitorio principal con baño incorporado, closet y balcón. - Segundo dormitorio con closet y baño. - Cocina cerrada. - 2 baños completos + baño de visita. - Área de lavandería",-12.0857511,-77.0500467,0,1,0,0,0,0,0,1,0,0,0,0,0,0
150873424,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-venta-o-alquiler-de-lindo-departamento-en-magdalena-150873424.html,2026-09-05 22:50:04,Venta o Alquiler de Lindo Departamento en Magdalena Límite con San Isidro,18480.0,PEN,18480.0,320.0,,57.75,Magdalena del Mar,Bernardo Monteagudo,3.0,3.0,3.0,,15.0,1400.0,,,,DIAZ VIDAL NURIA LORENA LUCERO [Persona Natural],"Ubicación privilegiada a media cuadra del Parque Acosta, en el límite de Magdalena con San Isidro, Se encuentra en excelente estado de conservación y con una distribución amplia y funcional. El departamento acaba de ser completamente pintado y los pisos de madera han recibido mantenimiento, por lo que se encuentra listo para mudarse. primera planta – área social Y privada• Ascensor directo al departamento. • Amplia sala y comedor con excelente iluminación. • Cocina cerrada, equipada con horno y refrigeradora. • Cocina con gas Cálidda. • Baño de visitas. • Closet adicional para vajilla y almacenamiento. • Pequeño balcón con vista a la calle. • Dormitorio principal de amplias dimensiones, con gran walk-in closet y baño incorporado. • Dos dormitorios secundarios, ambos con closets de pared a pared. • Baño completo compartido para los dormitorios secundarios. segunda planta – sala de estar Y terrazala segunda planta cuenta con una espectacular área social, ideal para disfrutar en familia y recibir invitados: • Amplia sala de estar. • Gran terraza de aproximadamente 40 m², equipada con parrilla y gabinetes de almacenamiento. • Ambiente adicional que puede utilizarse como oficina, estudio, sala de música o dormitorio con baño incorp. • Terraza adicional que permite implementar un cuarto dormitorio en esta planta. • Lavandería independiente. • Cuarto y baño de servicio. características adicionales• Ascensor directo. • Gas Cálidda en todo el departamento. • Vista a la calle. • 3 cocheras paralelas / sótano 1. • Depósito / sótano 2. El precio publicado en soles es referencial y puede variar según el tipo de cambio vigente al momento de la transacción.",-12.09912688,-77.0594478921,1,1,1,0,0,1,1,0,1,1,0,0,0,0
142181062,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-moderno-departamento-de-2-habitacion-en-centro-142181062.html,2026-09-05 22:50:04,Alquilo Moderno Departamento de 2 Habitación en Centro Financiero de San Isidro,3200.0,PEN,3200.0,65.0,65.0,49.23,San Isidro,Calle Miguel Seminario 100,2.0,2.0,1.0,,5.0,350.0,,,,Alicia Santos [Agente Inmobiliaria],"Cerca a estacion de metropolitano, vias principales del distrito, cafes, restaurantes, tiendas comerciales, zona super segura, vista Externa. Edificio de 12 pisos con azotea área común. 65m2 con balcón. Sala - Comedor con Balcón. Cocina Abierta con tablero de cuarzo, espacio para 1 refrigeradora de 1 puerta. Muebles de melamine, incluye encimera, horno, campana extractora. 2 Habitaciones amplias, principal con baño incorporado, amplios closet, habitaciones con bastente luz, muy iluminadas los ambientes. En cada habitación entra una cama de 2 plazas. A parte Baño completo para visita y habitación secundario. Incluye Estacionamiento sótano 1. No Mascotas, Mantenimiento S/350. contrato minimo 12 meses, modalidad 2 meses de garantia Y 1 mes de adelanto. áreas comunes: lobby con personal 24 x 7, cámaras de seguridad, zona de lavandería (lavadoras y secadoras), Terraza con parrilla y horno, Gimnasio, Sala de juegos, zona de bicicletas, zona de bar. Inquilino presentar documentos de ingresos, demostrar solvencia económica. Interesados Comunicarse por Interno <span class='descripcionDatosAnunciante'><button class='btn btn-link js-verDatos' href='#'>Ver datos</button></span>",-12.0949539,-77.0233339,0,1,1,0,1,1,0,1,1,0,1,0,0,1
150965826,adondevivir,alquiler,https://www.adondevivir.com/propiedades/clasificado/alclapin-amoblado-y-equipado-de-1-dormitorio-estudio-150965826.html,2026-09-05 22:50:04,Amoblado y Equipado de 1 Dormitorio - Estudio,3600.0,PEN,3600.0,70.0,70.0,51.43,Miraflores,Av. Ricardo Palma 1214 - Dpto. 1101,1.0,1.0,1.0,,2.0,400.0,,,,Minerva Studio,"Departamento en Av Ricardo Palma 1214, MirafloresUbicación: Nuevo edificio Roosevelt 6000, MirafloresTipo de propiedad: Departamento de 69 m², amoblado y equipado, vista a los campos deportivos del colegio MarkhamDistribución y EspaciosHabitaciones: 1 habitación con closet de pared a pared, sala de estar que puede usarse como zona de trabajoSala/Comedor: Con vista a los campos deportivos del colegio MarkhamCocina: Equipada con muebles altos y bajos, estilo americanaBaños: 1 baño de visitasExtras: Closet de lavadoEstacionamientoCochera: 1 cochera techadaÁreas comunes: PiscinaGimnasioParrillaÁrea de reunionesNota importante: En este inmueble no se permiten mascotasDisfruta de un departamento amoblado y equipado en una excelente ubicación, con todas las comodidades necesarias para una vida moderna. Visitas previa coordinacion.",-12.1234877,-77.0179678,0,0,0,1,1,1,0,1,1,0,0,0,0,1
